Country;ISO_A3;LE;HLI;HDI
Sao Tome and Principe;STP;66.14;48,27567;0,574
Saudi Arabia;SAU;73.99;66,52932;0,847
Senegal;SEN;65.71;49,13907;0,494
Serbia;SRB;74.65;68,74732;0,776
Seychelles;SYC;72.95;66,37555;0,782
Sierra Leone;SLE;50.19;28,42999;0,42
Singapore;SGP;82.34;79,9889;0,925
Slovakia;SVK;76.30;72,00034;0,845
Slovenia;SVN;80.31;77,58319;0,89
Solomon Islands;SLB;69.60;56,71303;0,515
South Africa;ZAF;59.47;45,31294;0,666
South Sudan;SSD;55.06;32,65359;0,418
Spain;ESP;82.52;79,7122;0,884
Sri Lanka;LKA;74.64;68,62591;0,766
State of Palestine;PSE;72.86;63,11621;0,684
Sudan;SDN;63.59;44,50704;0,49
Suriname;SUR;70.90;61,28676;0,725
Swaziland;SWZ;54.99;37,4865;0,541
Sweden;SWE;81.89;79,37161;0,913
Switzerland;CHE;82.69;79,45511;0,939
Syrian Arab Republic;SYR;69.84;59,69784;0,536
TFYR Macedonia;MKD;75.15;69,85518;0,748
Tajikistan;TJK;70.38;54,89952;0,627
Thailand;THA;74.56;66,79618;0,74
Timor-Leste;TLS;67.74;51,18136;0,605
Togo;TGO;59.07;39,71035;0,487
Tonga;TON;72.51;62,55117;0,721
Trinidad and Tobago;TTO;70.23;58,5398;0,78
Tunisia;TUN;75.04;66,04411;0,725
Turkey;TUR;74.83;66,25674;0,767
Turkmenistan;TKM;67.31;50,56568;0,691
Uganda;UGA;58.61;38,27642;0,493
Ukraine;UKR;71.12;65,11237;0,743
United Arab Emirates;ARE;76.71;72,2756;0,84
United Kingdom;GBR;80.97;77,49601;0,909
United Republic of Tanzania;TZA;62.78;45,36299;0,531
United States of America;USA;78.88;74,0691;0,92
Uruguay;URY;76.96;69,6478;0,795
Uzbekistan;UZB;70.80;57,79231;0,701
Vanuatu;VUT;71.36;60,17243;0,597
Venezuela (Bolivarian Republic of);VEN;73.95;65,50829;0,767
Viet Nam;VNM;75.56;64,86913;0,683
Yemen;YEM;64.17;46,90488;0,482
Zambia;ZMB;59.73;40,44635;0,579
Zimbabwe;ZWE;57.64;40,69838;0,516
